Run,Test LLM,Implementation LLM,Passed tests,Total Tests,Complete?,Notes
1,Deepseek,Deepseek,6,6,Yes,
1,Deepseek,Gemma,6,6,Yes,
1,Deepseek,Mistral,6,6,Yes,
1,Deepseek,OpenAI,6,6,Yes,
1,Deepseek,Amazon,6,6,Yes,
1,Deepseek,Manual,6,6,Yes,
,,,,,,
1,Gemma,Deepseek,6,6,Yes,
1,Gemma,Gemma,6,6,Yes,
1,Gemma,Mistral,6,6,Yes,
1,Gemma,OpenAI,6,6,Yes,
1,Gemma,Amazon,5,6,No,To investigate
1,Gemma,Manual,5,6,No,To investigate
,,,,,,
1,Mistral,Deepseek,8,8,Yes,
1,Mistral,Gemma,8,8,Yes,
1,Mistral,Mistral,8,8,Yes,
1,Mistral,OpenAI,8,8,Yes,
1,Mistral,Amazon,8,8,Yes,
1,Mistral,Manual,8,8,Yes,
,,,,,,
1,OpenAI,Deepseek,7,8,No,To investigate
1,OpenAI,Gemma,8,8,Yes,
1,OpenAI,Mistral,7,8,No,To investigate
1,OpenAI,OpenAI,7,8,No,To investigate
1,OpenAI,Amazon,7,8,No,To investigate
1,OpenAI,Manual,7,8,No,To investigate
,,,,,,
1,Amazon,Deepseek,5,5,Yes,
1,Amazon,Gemma,5,5,Yes,
1,Amazon,Mistral,5,5,Yes,
1,Amazon,OpenAI,5,5,Yes,
1,Amazon,Amazon,5,5,Yes,
1,Amazon,Manual,5,5,Yes,
,,,,,,
1,Manual,Deepseek,8,9,No,To investigate
1,Manual,Gemma,9,9,Yes,
1,Manual,Mistral,8,9,No,To investigate
1,Manual,OpenAI,9,9,Yes,
1,Manual,Amazon,6,9,No,To investigate
1,Manual,Manual,6,9,No,To investigate
,,,,,,
,,,,,,
2,Deepseek,Deepseek,8,8,Yes,
2,Deepseek,Gemma,8,8,Yes,
2,Deepseek,Mistral,8,8,Yes,
2,Deepseek,OpenAI,8,8,Yes,
2,Deepseek,Amazon,8,8,Yes,
2,Deepseek,Manual,8,8,Yes,
,,,,,,
2,Gemma,Deepseek,5,6,No,To investigate
2,Gemma,Gemma,5,6,No,To investigate
2,Gemma,Mistral,5,6,No,To investigate
2,Gemma,OpenAI,5,6,No,To investigate
2,Gemma,Amazon,5,6,No,To investigate
2,Gemma,Manual,5,6,No,To investigate
,,,,,,
2,Mistral,Deepseek,8,8,Yes,
2,Mistral,Gemma,8,8,Yes,
2,Mistral,Mistral,8,8,Yes,
2,Mistral,OpenAI,8,8,Yes,
2,Mistral,Amazon,8,8,Yes,
2,Mistral,Manual,8,8,Yes,
,,,,,,
2,OpenAI,Deepseek,8,8,Yes,
2,OpenAI,Gemma,8,8,Yes,
2,OpenAI,Mistral,8,8,Yes,
2,OpenAI,OpenAI,8,8,Yes,
2,OpenAI,Amazon,8,8,Yes,
2,OpenAI,Manual,8,8,Yes,
,,,,,,
2,Amazon,Deepseek,5,5,Yes,
2,Amazon,Gemma,5,5,Yes,
2,Amazon,Mistral,5,5,Yes,
2,Amazon,OpenAI,5,5,Yes,
2,Amazon,Amazon,5,5,Yes,
2,Amazon,Manual,5,5,Yes,
,,,,,,
2,Manual,Deepseek,8,9,No,To investigate
2,Manual,Gemma,9,9,Yes,
2,Manual,Mistral,8,9,No,To investigate
2,Manual,OpenAI,9,9,Yes,
2,Manual,Amazon,8,9,No,To investigate
2,Manual,Manual,6,9,No,To investigate
,,,,,,
,,,,,,
3,Deepseek,Deepseek,7,7,Yes,
3,Deepseek,Gemma,0,0,No,To investigate
3,Deepseek,Mistral,7,7,Yes,
3,Deepseek,OpenAI,7,7,Yes,
3,Deepseek,Amazon,7,7,Yes,
3,Deepseek,Manual,7,7,Yes,
,,,,,,
3,Gemma,Deepseek,7,7,Yes,
3,Gemma,Gemma,0,0,No,To investigate
3,Gemma,Mistral,7,7,Yes,
3,Gemma,OpenAI,7,7,Yes,
3,Gemma,Amazon,7,7,Yes,
3,Gemma,Manual,7,7,Yes,
,,,,,,
3,Mistral,Deepseek,9,10,No,To investigate
3,Mistral,Gemma,0,0,No,To investigate
3,Mistral,Mistral,9,10,No,To investigate
3,Mistral,OpenAI,9,10,No,To investigate
3,Mistral,Amazon,9,10,No,To investigate
3,Mistral,Manual,9,10,No,To investigate
,,,,,,
3,OpenAI,Deepseek,9,9,Yes,
3,OpenAI,Gemma,0,0,No,To investigate
3,OpenAI,Mistral,9,9,Yes,
3,OpenAI,OpenAI,8,9,No,To investigate
3,OpenAI,Amazon,7,9,No,To investigate
3,OpenAI,Manual,7,9,No,To investigate
,,,,,,
3,Amazon,Deepseek,5,5,Yes,
3,Amazon,Gemma,0,0,No,To investigate
3,Amazon,Mistral,5,5,Yes,
3,Amazon,OpenAI,5,5,Yes,
3,Amazon,Amazon,5,5,Yes,
3,Amazon,Manual,5,5,Yes,
