Run,Test LLM,Implementation LLM,Passed tests,Total Tests,Complete?,Notes,,
1,Deepseek,Deepseek,9,9,Yes,,,
1,Deepseek,Gemma,9,9,Yes,,,
1,Deepseek,Mistral,9,9,Yes,,,
1,Deepseek,OpenAI,9,9,Yes,,,
1,Deepseek,Amazon,8,9,No,To investigate,,
1,Deepseek,Manual,9,9,Yes,,,
,,,,,,,,
1,Gemma,Deepseek,8,8,Yes,,,
1,Gemma,Gemma,8,8,Yes,,,
1,Gemma,Mistral,8,8,Yes,,,
1,Gemma,OpenAI,8,8,Yes,,,
1,Gemma,Amazon,7,8,No,To investigate,,
1,Gemma,Manual,8,8,Yes,,,
,,,,,,,,
1,Mistral,Deepseek,13,14,No,To investigate,,
1,Mistral,Gemma,13,14,No,To investigate,,
1,Mistral,Mistral,13,14,No,To investigate,,
1,Mistral,OpenAI,13,14,No,To investigate,,
1,Mistral,Amazon,12,14,No,To investigate,,
1,Mistral,Manual,13,14,No,To investigate,,
,,,,,,,,
1,OpenAI,Deepseek,10,10,Yes,,,
1,OpenAI,Gemma,10,10,Yes,,,
1,OpenAI,Mistral,10,10,Yes,,,
1,OpenAI,OpenAI,10,10,Yes,,,
1,OpenAI,Amazon,9,10,No,To investigate,,
1,OpenAI,Manual,10,10,Yes,,,
,,,,,,,,
1,Amazon,Deepseek,7,7,Yes,,,
1,Amazon,Gemma,7,7,Yes,,,
1,Amazon,Mistral,7,7,Yes,,,
1,Amazon,OpenAI,7,7,Yes,,,
1,Amazon,Amazon,6,7,No,To investigate,,
1,Amazon,Manual,7,7,Yes,,,
,,,,,,,,
1,Manual,Deepseek,7,7,Yes,,,
1,Manual,Gemma,7,7,Yes,,,
1,Manual,Mistral,7,7,Yes,,,
1,Manual,OpenAI,7,7,Yes,,,
1,Manual,Amazon,7,7,Yes,,,
1,Manual,Manual,7,7,Yes,,,
,,,,,,,,
,,,,,,,,
2,Deepseek,Deepseek,10,10,Yes,,,
2,Deepseek,Gemma,10,10,Yes,,,
2,Deepseek,Mistral,10,10,Yes,,,
2,Deepseek,OpenAI,10,10,Yes,,,
2,Deepseek,Amazon,10,10,Yes,,,
2,Deepseek,Manual,10,10,Yes,,,
,,,,,,,,
2,Gemma,Deepseek,8,8,Yes,,,
2,Gemma,Gemma,8,8,Yes,,,
2,Gemma,Mistral,8,8,Yes,,,
2,Gemma,OpenAI,8,8,Yes,,,
2,Gemma,Amazon,8,8,Yes,,,
2,Gemma,Manual,8,8,Yes,,,
,,,,,,,,
2,Mistral,Deepseek,11,13,No,To investigate,,
2,Mistral,Gemma,11,13,No,To investigate,,
2,Mistral,Mistral,11,13,No,To investigate,,
2,Mistral,OpenAI,11,13,No,To investigate,,
2,Mistral,Amazon,11,13,No,To investigate,,
2,Mistral,Manual,11,13,No,To investigate,,
,,,,,,,,
2,OpenAI,Deepseek,9,9,Yes,,,
2,OpenAI,Gemma,9,9,Yes,,,
2,OpenAI,Mistral,9,9,Yes,,,
2,OpenAI,OpenAI,9,9,Yes,,,
2,OpenAI,Amazon,9,9,Yes,,,
2,OpenAI,Manual,9,9,Yes,,,
,,,,,,,,
2,Amazon,Deepseek,7,7,Yes,,,
2,Amazon,Gemma,7,7,Yes,,,
2,Amazon,Mistral,7,7,Yes,,,
2,Amazon,OpenAI,7,7,Yes,,,
2,Amazon,Amazon,7,7,Yes,,,
2,Amazon,Manual,7,7,Yes,,,
,,,,,,,,
2,Manual,Deepseek,7,7,Yes,,,
2,Manual,Gemma,7,7,Yes,,,
2,Manual,Mistral,7,7,Yes,,,
2,Manual,OpenAI,7,7,Yes,,,
2,Manual,Amazon,7,7,Yes,,,
2,Manual,Manual,7,7,Yes,,,
,,,,,,,,
,,,,,,,,
3,Deepseek,Deepseek,8,8,Yes,,,
3,Deepseek,Gemma,8,8,Yes,,,
3,Deepseek,Mistral,6,8,No,To investigate,,
3,Deepseek,OpenAI,8,8,Yes,,,
3,Deepseek,Amazon,8,8,Yes,,,
3,Deepseek,Manual,8,8,Yes,,,
,,,,,,,,
3,Gemma,Deepseek,7,7,Yes,,,
3,Gemma,Gemma,7,7,Yes,,,
3,Gemma,Mistral,6,7,No,To investigate,,
3,Gemma,OpenAI,7,7,Yes,,,
3,Gemma,Amazon,7,7,Yes,,,
3,Gemma,Manual,7,7,Yes,,,
,,,,,,,,
3,Mistral,Deepseek,11,13,No,To investigate,,
3,Mistral,Gemma,11,13,No,To investigate,,
3,Mistral,Mistral,9,13,No,To investigate,,
3,Mistral,OpenAI,11,13,No,To investigate,,
3,Mistral,Amazon,11,13,No,To investigate,,
3,Mistral,Manual,11,13,No,To investigate,,
,,,,,,,,
3,OpenAI,Deepseek,9,9,Yes,,,
3,OpenAI,Gemma,9,9,Yes,,,
3,OpenAI,Mistral,7,9,No,To investigate,,
3,OpenAI,OpenAI,9,9,Yes,,,
3,OpenAI,Amazon,9,9,Yes,,,
3,OpenAI,Manual,9,9,Yes,,,
,,,,,,,,
3,Amazon,Deepseek,8,9,No,To investigate,,
3,Amazon,Gemma,8,9,No,To investigate,,
3,Amazon,Mistral,7,9,No,To investigate,,
3,Amazon,OpenAI,8,9,No,To investigate,,
3,Amazon,Amazon,8,9,No,To investigate,,
3,Amazon,Manual,8,9,No,To investigate,,
,,,,,,,,
3,Manual,Deepseek,7,7,Yes,,,
3,Manual,Gemma,7,7,Yes,,,
3,Manual,Mistral,7,7,Yes,,,
3,Manual,OpenAI,7,7,Yes,,,
3,Manual,Amazon,7,7,Yes,,,
3,Manual,Manual,7,7,Yes,,,
,,,,,,,,
,,,,,,,,
4,Deepseek,Deepseek,10,10,Yes,,,
4,Deepseek,Gemma,10,10,Yes,,,
4,Deepseek,Mistral,7,10,No,To investigate,,
4,Deepseek,OpenAI,10,10,Yes,,,
