Run,Test LLM,Implementation LLM,Passed tests,Total Tests,Complete?,Notes,,,,,,,,
1,Deepseek,Deepseek,2,8,No,To investigate,,,,,,,,
1,Deepseek,Gemma,2,8,No,To investigate,,,,,,,,
1,Deepseek,Mistral,2,8,No,To investigate,,,,,,,,
1,Deepseek,OpenAI,2,8,No,To investigate,,,,,,,,
1,Deepseek,Amazon,2,8,No,To investigate,,,,,,,,
1,Deepseek,Manual,2,8,No,To investigate,,,,,,,,
,,,,,,,,,,,,,,
1,Gemma,Deepseek,7,7,Yes,,,,,,,,,
1,Gemma,Gemma,7,7,Yes,,,,,,,1 run ki 6 comparisons ,,
1,Gemma,Mistral,7,7,Yes,,,,,,,5 LLMS and 1 manual  = 6* 6 = 36 comparisons in 1 run ,,
1,Gemma,OpenAI,7,7,Yes,,,,,,,36 comparisons for 10 runs = 360,,
1,Gemma,Amazon,4,7,No,To investigate,,,,,,,,
1,Gemma,Manual,7,7,Yes,,,,,,,,,
,,,,,,,,,,,,,,
1,Mistral,Deepseek,10,10,Yes,,,,,,,,,
1,Mistral,Gemma,10,10,Yes,,,,,,,,,
1,Mistral,Mistral,10,10,Yes,,,,,,,,,
1,Mistral,OpenAI,10,10,Yes,,,,,,,,,360 - 9
1,Mistral,Amazon,7,10,No,To investigate,,,,,,,,
1,Mistral,Manual,10,10,Yes,,,,,,,,,351 * 9
,,,,,,,,,,,,,,
1,OpenAI,Deepseek,10,10,Yes,,,,,,,,,
1,OpenAI,Gemma,10,10,Yes,,,,,,,,,
1,OpenAI,Mistral,10,10,Yes,,,,,,,,,
1,OpenAI,OpenAI,10,10,Yes,,,,,,,,,
1,OpenAI,Amazon,6,10,No,To investigate,,,,,,,,
1,OpenAI,Manual,10,10,Yes,,,,,,,,,
,,,,,,,,,,,,,,
1,Amazon,Deepseek,7,7,Yes,,,,,,,,,
1,Amazon,Gemma,7,7,Yes,,,,,,,,,
1,Amazon,Mistral,7,7,Yes,,,,,,,,,
1,Amazon,OpenAI,7,7,Yes,,,,,,,,,
1,Amazon,Amazon,6,7,No,To investigate,,,,,,,,
1,Amazon,Manual,7,7,Yes,,,,,,,,,
,,,,,,,,,,,,,,
1,Manual,Deepseek,11,11,Yes,,,,,,,,,
1,Manual,Gemma,11,11,Yes,,,,,,,,,
1,Manual,Mistral,11,11,Yes,,,,,,,,,
1,Manual,OpenAI,11,11,Yes,,,,,,,,,
1,Manual,Amazon,10,11,No,To investigate,,,,,,,,
1,Manual,Manual,11,11,Yes,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Deepseek,Deepseek,7,8,No,To investigate,,,,,,,,
2,Deepseek,Gemma,7,8,No,To investigate,,,,,,,,
2,Deepseek,Mistral,7,8,No,To investigate,,,,,,,,
2,Deepseek,OpenAI,7,8,No,To investigate,,,,,,,,
2,Deepseek,Amazon,4,8,No,To investigate,,,,,,,,
2,Deepseek,Manual,7,8,No,To investigate,,,,,,,,
,,,,,,,,,,,,,,
2,Gemma,Deepseek,0,7,No,To investigate,,,,,,,,
2,Gemma,Gemma,0,7,No,To investigate,,,,,,,,
2,Gemma,Mistral,0,7,No,To investigate,,,,,,,,
2,Gemma,OpenAI,0,7,No,To investigate,,,,,,,,
2,Gemma,Amazon,0,7,No,To investigate,,,,,,,,
2,Gemma,Manual,0,7,No,To investigate,,,,,,,,
,,,,,,,,,,,,,,
2,Mistral,Deepseek,10,10,Yes,,,,,,,,,
2,Mistral,Gemma,10,10,Yes,,,,,,,,,
2,Mistral,Mistral,10,10,Yes,,,,,,,,,
2,Mistral,OpenAI,10,10,Yes,,,,,,,,,
2,Mistral,Amazon,7,10,No,To investigate,,,,,,,,
2,Mistral,Manual,10,10,Yes,,,,,,,,,
,,,,,,,,,,,,,,
2,OpenAI,Deepseek,10,10,Yes,,,,,,,,,
2,OpenAI,Gemma,9,10,No,To investigate,,,,,,,,
2,OpenAI,Mistral,10,10,Yes,,,,,,,,,
2,OpenAI,OpenAI,10,10,Yes,,,,,,,,,
2,OpenAI,Amazon,6,10,No,To investigate,,,,,,,,
2,OpenAI,Manual,9,10,No,To investigate,,,,,,,,
,,,,,,,,,,,,,,
2,Amazon,Deepseek,5,5,Yes,,,,,,,,,
2,Amazon,Gemma,5,5,Yes,,,,,,,,,
2,Amazon,Mistral,5,5,Yes,,,,,,,,,
